instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature0
5647,2011-08-28,3,0,8,17,0,0,0,1,0.76,0.6818,0.4,0.2985,145,253,398,176.46875
5648,2011-08-28,3,0,8,18,0,0,0,1,0.74,0.6667,0.42,0.2239,145,257,402,176.5
5649,2011-08-28,3,0,8,19,0,0,0,1,0.72,0.6667,0.48,0.1045,140,247,387,176.53125
5650,2011-08-28,3,0,8,20,0,0,0,1,0.72,0.6515,0.45,0.1045,64,150,214,176.5625
5651,2011-08-28,3,0,8,21,0,0,0,1,0.66,0.6212,0.61,0.1343,60,126,186,176.59375
5652,2011-08-28,3,0,8,22,0,0,0,1,0.64,0.6061,0.69,0.1045,25,73,98,176.625
5653,2011-08-28,3,0,8,23,0,0,0,1,0.62,0.5909,0.73,0.1045,16,48,64,176.65625
5654,2011-08-29,3,0,8,0,0,1,1,1,0.62,0.5909,0.73,0.1045,13,21,34,176.6875
5655,2011-08-29,3,0,8,1,0,1,1,1,0.6,0.5909,0.69,0.1045,5,15,20,176.71875
5656,2011-08-29,3,0,8,2,0,1,1,1,0.6,0.5909,0.69,0.194,8,5,13,176.75
5657,2011-08-29,3,0,8,3,0,1,1,1,0.6,0.5909,0.69,0.1045,1,5,6,176.78125
5658,2011-08-29,3,0,8,4,0,1,1,1,0.56,0.5303,0.68,0.1343,0,3,3,176.8125
5659,2011-08-29,3,0,8,5,0,1,1,1,0.56,0.5303,0.73,0.1343,0,17,17,176.84375
5660,2011-08-29,3,0,8,6,0,1,1,1,0.56,0.5303,0.73,0.1343,3,99,102,176.875
5661,2011-08-29,3,0,8,7,0,1,1,1,0.6,0.6061,0.6,0.2239,11,273,284,176.90625
5662,2011-08-29,3,0,8,8,0,1,1,1,0.62,0.6212,0.57,0.2537,20,384,404,176.9375
5663,2011-08-29,3,0,8,9,0,1,1,1,0.62,0.6212,0.53,0.2537,22,166,188,176.96875
5664,2011-08-29,3,0,8,10,0,1,1,1,0.66,0.6212,0.47,0.2239,42,73,115,177.0
5665,2011-08-29,3,0,8,11,0,1,1,1,0.66,0.6212,0.47,0.1642,38,100,138,177.03125
5666,2011-08-29,3,0,8,12,0,1,1,2,0.68,0.6364,0.44,0.1642,48,159,207,177.0625
5667,2011-08-29,3,0,8,13,0,1,1,2,0.7,0.6364,0.39,0,48,170,218,177.09375
5668,2011-08-29,3,0,8,14,0,1,1,1,0.7,0.6364,0.42,0,55,127,182,177.125
5669,2011-08-29,3,0,8,15,0,1,1,1,0.7,0.6364,0.42,0.1642,56,164,220,177.15625
5670,2011-08-29,3,0,8,16,0,1,1,1,0.72,0.6515,0.42,0.1642,56,226,282,177.1875
5671,2011-08-29,3,0,8,17,0,1,1,2,0.7,0.6364,0.47,0.2239,67,524,591,177.21875
5672,2011-08-29,3,0,8,18,0,1,1,1,0.66,0.6212,0.47,0.2537,60,487,547,177.25
5673,2011-08-29,3,0,8,19,0,1,1,1,0.66,0.6212,0.47,0.2537,50,317,367,177.28125
5674,2011-08-29,3,0,8,20,0,1,1,1,0.64,0.6212,0.53,0.1642,50,227,277,177.3125
5675,2011-08-29,3,0,8,21,0,1,1,1,0.64,0.6212,0.53,0.194,34,168,202,177.34375
5676,2011-08-29,3,0,8,22,0,1,1,1,0.62,0.6212,0.57,0.1343,23,119,142,177.375
5677,2011-08-29,3,0,8,23,0,1,1,1,0.6,0.6061,0.6,0.0896,19,56,75,177.40625
5678,2011-08-30,3,0,8,0,0,2,1,1,0.56,0.5303,0.73,0.1343,10,17,27,177.4375
5679,2011-08-30,3,0,8,1,0,2,1,1,0.56,0.5303,0.68,0.1045,6,7,13,177.46875
5680,2011-08-30,3,0,8,2,0,2,1,1,0.54,0.5152,0.73,0.1045,2,8,10,177.5
5681,2011-08-30,3,0,8,3,0,2,1,1,0.54,0.5152,0.73,0.194,2,2,4,177.53125
5682,2011-08-30,3,0,8,4,0,2,1,1,0.52,0.5,0.77,0.1642,0,6,6,177.5625
5683,2011-08-30,3,0,8,5,0,2,1,1,0.52,0.5,0.77,0.0896,1,27,28,177.59375
5684,2011-08-30,3,0,8,6,0,2,1,1,0.54,0.5152,0.73,0.1045,4,115,119,177.625
5685,2011-08-30,3,0,8,7,0,2,1,1,0.56,0.5303,0.68,0.1343,19,338,357,177.65625
5686,2011-08-30,3,0,8,8,0,2,1,1,0.62,0.6212,0.57,0.1343,34,459,493,177.6875
5687,2011-08-30,3,0,8,9,0,2,1,1,0.66,0.6212,0.5,0.2239,38,180,218,177.71875
5688,2011-08-30,3,0,8,10,0,2,1,1,0.7,0.6364,0.39,0.2239,28,109,137,177.75
5689,2011-08-30,3,0,8,11,0,2,1,1,0.72,0.6515,0.37,0.194,60,115,175,177.78125
5690,2011-08-30,3,0,8,12,0,2,1,1,0.72,0.6515,0.37,0,65,172,237,177.8125
5691,2011-08-30,3,0,8,13,0,2,1,1,0.74,0.6515,0.35,0.1045,59,170,229,177.84375
5692,2011-08-30,3,0,8,14,0,2,1,1,0.74,0.6515,0.33,0.1642,58,151,209,177.875
5693,2011-08-30,3,0,8,15,0,2,1,1,0.74,0.6515,0.35,0.2239,34,162,196,177.90625
5694,2011-08-30,3,0,8,16,0,2,1,1,0.74,0.6515,0.37,0.1642,42,295,337,177.9375
5695,2011-08-30,3,0,8,17,0,2,1,1,0.72,0.6515,0.42,0.194,62,549,611,177.96875
5696,2011-08-30,3,0,8,18,0,2,1,1,0.7,0.6364,0.45,0.1642,60,516,576,178.0
5697,2011-08-30,3,0,8,19,0,2,1,1,0.66,0.6212,0.5,0.0896,68,397,465,178.03125
5698,2011-08-30,3,0,8,20,0,2,1,1,0.66,0.6212,0.5,0,39,259,298,178.0625
5699,2011-08-30,3,0,8,21,0,2,1,1,0.64,0.6061,0.65,0.0896,43,180,223,178.09375
5700,2011-08-30,3,0,8,22,0,2,1,1,0.62,0.6061,0.61,0,22,121,143,178.125
5701,2011-08-30,3,0,8,23,0,2,1,1,0.62,0.6061,0.61,0,19,74,93,178.15625
5702,2011-08-31,3,0,8,0,0,3,1,1,0.6,0.5909,0.69,0,8,24,32,178.1875
5703,2011-08-31,3,0,8,1,0,3,1,1,0.6,0.5909,0.69,0,2,13,15,178.21875
5704,2011-08-31,3,0,8,2,0,3,1,1,0.56,0.5303,0.73,0,1,5,6,178.25
5705,2011-08-31,3,0,8,3,0,3,1,1,0.56,0.5303,0.78,0,2,4,6,178.28125
5706,2011-08-31,3,0,8,4,0,3,1,1,0.56,0.5303,0.73,0,0,5,5,178.3125
5707,2011-08-31,3,0,8,5,0,3,1,1,0.54,0.5152,0.83,0.0896,2,25,27,178.34375
5708,2011-08-31,3,0,8,6,0,3,1,1,0.54,0.5152,0.77,0,4,107,111,178.375
5709,2011-08-31,3,0,8,7,0,3,1,1,0.6,0.5758,0.78,0,12,316,328,178.40625
5710,2011-08-31,3,0,8,8,0,3,1,1,0.62,0.6061,0.69,0,27,440,467,178.4375
5711,2011-08-31,3,0,8,9,0,3,1,1,0.64,0.6061,0.69,0.0896,27,217,244,178.46875
5712,2011-08-31,3,0,8,10,0,3,1,1,0.7,0.6364,0.45,0.1045,33,105,138,178.5
5713,2011-08-31,3,0,8,11,0,3,1,1,0.72,0.6515,0.42,0.1343,28,143,171,178.53125
5714,2011-08-31,3,0,8,12,0,3,1,1,0.74,0.6667,0.43,0.1343,68,192,260,178.5625
5715,2011-08-31,3,0,8,13,0,3,1,1,0.74,0.6515,0.37,0.1045,39,182,221,178.59375
5716,2011-08-31,3,0,8,14,0,3,1,1,0.74,0.6515,0.4,0.1343,48,148,196,178.625
5717,2011-08-31,3,0,8,15,0,3,1,1,0.74,0.6515,0.4,0.1343,34,138,172,178.65625
5718,2011-08-31,3,0,8,16,0,3,1,1,0.74,0.6667,0.42,0.1343,46,263,309,178.6875
5719,2011-08-31,3,0,8,17,0,3,1,1,0.72,0.6515,0.45,0.1343,83,525,608,178.71875
5720,2011-08-31,3,0,8,18,0,3,1,1,0.7,0.6515,0.51,0.2239,70,495,565,178.75
5721,2011-08-31,3,0,8,19,0,3,1,1,0.84,0.7727,0.47,0.2537,53,393,446,178.78125
5722,2011-08-31,3,0,8,20,0,3,1,1,0.66,0.6212,0.57,0.1343,30,259,289,178.8125
5723,2011-08-31,3,0,8,21,0,3,1,1,0.66,0.6212,0.61,0.0896,27,174,201,178.84375
5724,2011-08-31,3,0,8,22,0,3,1,1,0.64,0.6061,0.69,0,20,137,157,178.875
5725,2011-08-31,3,0,8,23,0,3,1,1,0.6,0.5758,0.78,0.1045,24,60,84,178.90625
5726,2011-09-01,3,0,9,0,0,4,1,1,0.6,0.5758,0.78,0.1045,18,33,51,178.9375
5727,2011-09-01,3,0,9,1,0,4,1,1,0.6,0.5909,0.73,0.0896,7,14,21,178.96875
5728,2011-09-01,3,0,9,2,0,4,1,1,0.58,0.5455,0.78,0.0896,14,11,25,179.0
5729,2011-09-01,3,0,9,3,0,4,1,1,0.58,0.5455,0.78,0.0896,7,7,14,179.03125
5730,2011-09-01,3,0,9,4,0,4,1,1,0.56,0.5303,0.83,0.0896,0,7,7,179.0625
5731,2011-09-01,3,0,9,5,0,4,1,1,0.56,0.5303,0.73,0.0896,1,22,23,179.09375
5732,2011-09-01,3,0,9,6,0,4,1,1,0.6,0.5758,0.78,0,2,103,105,179.125
5733,2011-09-01,3,0,9,7,0,4,1,1,0.6,0.5758,0.78,0,7,335,342,179.15625
5734,2011-09-01,3,0,9,8,0,4,1,1,0.62,0.5909,0.73,0.1343,31,467,498,179.1875
5735,2011-09-01,3,0,9,9,0,4,1,1,0.64,0.6061,0.69,0.1045,29,178,207,179.21875
5736,2011-09-01,3,0,9,10,0,4,1,1,0.68,0.6364,0.61,0.1343,46,92,138,179.25
5737,2011-09-01,3,0,9,11,0,4,1,1,0.72,0.6667,0.51,0.1343,51,141,192,179.28125
5738,2011-09-01,3,0,9,12,0,4,1,2,0.72,0.6667,0.51,0.1343,64,165,229,179.3125
5739,2011-09-01,3,0,9,13,0,4,1,2,0.72,0.6667,0.48,0.0896,50,169,219,179.34375
5740,2011-09-01,3,0,9,14,0,4,1,3,0.72,0.6667,0.54,0.2537,54,144,198,179.375
5741,2011-09-01,3,0,9,15,0,4,1,1,0.72,0.6667,0.51,0.1343,39,135,174,179.40625
5742,2011-09-01,3,0,9,16,0,4,1,1,0.74,0.6667,0.51,0.194,55,253,308,179.4375
5743,2011-09-01,3,0,9,17,0,4,1,1,0.72,0.6667,0.54,0.2537,61,567,628,179.46875
5744,2011-09-01,3,0,9,18,0,4,1,1,0.72,0.6667,0.54,0.2239,69,462,531,179.5
5745,2011-09-01,3,0,9,19,0,4,1,1,0.7,0.6515,0.58,0.1642,79,364,443,179.53125
5746,2011-09-01,3,0,9,20,0,4,1,1,0.66,0.6212,0.61,0.2239,33,247,280,179.5625
5747,2011-09-01,3,0,9,21,0,4,1,2,0.66,0.6212,0.57,0.194,17,160,177,179.59375
5748,2011-09-01,3,0,9,22,0,4,1,2,0.66,0.6212,0.57,0.2239,34,145,179,179.625
5749,2011-09-01,3,0,9,23,0,4,1,1,0.64,0.6061,0.65,0.2537,15,111,126,179.65625
5750,2011-09-02,3,0,9,0,0,5,1,1,0.64,0.6061,0.65,0.194,6,58,64,179.6875
5751,2011-09-02,3,0,9,1,0,5,1,3,0.62,0.5909,0.73,0.1045,4,28,32,179.71875
5752,2011-09-02,3,0,9,2,0,5,1,3,0.62,0.5909,0.73,0.1045,9,11,20,179.75
5753,2011-09-02,3,0,9,3,0,5,1,2,0.6,0.5606,0.83,0.1642,4,4,8,179.78125
5754,2011-09-02,3,0,9,4,0,5,1,1,0.6,0.5606,0.83,0.0896,2,2,4,179.8125
5755,2011-09-02,3,0,9,5,0,5,1,2,0.6,0.5606,0.83,0.1343,0,20,20,179.84375
5756,2011-09-02,3,0,9,6,0,5,1,1,0.6,0.5606,0.83,0.1343,3,73,76,179.875
5757,2011-09-02,3,0,9,7,0,5,1,1,0.6,0.5606,0.83,0.1045,6,253,259,179.90625
5758,2011-09-02,3,0,9,8,0,5,1,1,0.62,0.5909,0.78,0.194,22,434,456,179.9375
5759,2011-09-02,3,0,9,9,0,5,1,2,0.62,0.5758,0.83,0.1045,30,190,220,179.96875
5760,2011-09-02,3,0,9,10,0,5,1,2,0.64,0.6061,0.76,0.1642,34,106,140,180.0
5761,2011-09-02,3,0,9,11,0,5,1,2,0.66,0.6212,0.74,0.1045,51,141,192,180.03125
5762,2011-09-02,3,0,9,12,0,5,1,2,0.66,0.6212,0.69,0.2239,82,178,260,180.0625
5763,2011-09-02,3,0,9,13,0,5,1,2,0.68,0.6364,0.65,0.1343,72,207,279,180.09375
5764,2011-09-02,3,0,9,14,0,5,1,2,0.7,0.6515,0.61,0.1045,75,208,283,180.125
5765,2011-09-02,3,0,9,15,0,5,1,2,0.7,0.6515,0.61,0.2537,69,277,346,180.15625
5766,2011-09-02,3,0,9,16,0,5,1,2,0.7,0.6515,0.61,0.1343,82,299,381,180.1875
5767,2011-09-02,3,0,9,17,0,5,1,2,0.68,0.6364,0.65,0.1642,78,377,455,180.21875
5768,2011-09-02,3,0,9,18,0,5,1,2,0.68,0.6364,0.65,0.194,50,305,355,180.25
5769,2011-09-02,3,0,9,19,0,5,1,1,0.66,0.6212,0.69,0.1343,67,220,287,180.28125
5770,2011-09-02,3,0,9,20,0,5,1,1,0.64,0.6061,0.73,0,38,158,196,180.3125
5771,2011-09-02,3,0,9,21,0,5,1,2,0.64,0.6061,0.73,0.0896,28,121,149,180.34375
5772,2011-09-02,3,0,9,22,0,5,1,2,0.64,0.6061,0.73,0.1642,33,114,147,180.375
5773,2011-09-02,3,0,9,23,0,5,1,2,0.64,0.6061,0.73,0.1642,30,68,98,180.40625
5774,2011-09-03,3,0,9,0,0,6,0,2,0.64,0.6061,0.73,0.1045,22,65,87,180.4375
5775,2011-09-03,3,0,9,1,0,6,0,2,0.64,0.6061,0.69,0.2537,17,57,74,180.46875
5776,2011-09-03,3,0,9,2,0,6,0,2,0.64,0.6061,0.69,0.2239,15,26,41,180.5
5777,2011-09-03,3,0,9,3,0,6,0,1,0.62,0.5909,0.73,0.1642,17,18,35,180.53125
5778,2011-09-03,3,0,9,4,0,6,0,1,0.62,0.5909,0.73,0.1642,3,4,7,180.5625
5779,2011-09-03,3,0,9,5,0,6,0,1,0.62,0.6061,0.69,0.194,3,9,12,180.59375
5780,2011-09-03,3,0,9,6,0,6,0,1,0.62,0.5909,0.73,0.1642,4,19,23,180.625
5781,2011-09-03,3,0,9,7,0,6,0,1,0.62,0.5909,0.73,0.194,5,33,38,180.65625
5782,2011-09-03,3,0,9,8,0,6,0,1,0.64,0.6061,0.69,0.1642,24,65,89,180.6875
5783,2011-09-03,3,0,9,9,0,6,0,2,0.66,0.6212,0.69,0.2537,83,118,201,180.71875
5784,2011-09-03,3,0,9,10,0,6,0,3,0.66,0.6212,0.65,0.2537,90,168,258,180.75
5785,2011-09-03,3,0,9,11,0,6,0,3,0.66,0.6212,0.69,0.2836,66,128,194,180.78125
5786,2011-09-03,3,0,9,12,0,6,0,1,0.7,0.6515,0.61,0.2239,97,160,257,180.8125
5787,2011-09-03,3,0,9,13,0,6,0,1,0.7,0.6515,0.65,0.2239,153,200,353,180.84375
5788,2011-09-03,3,0,9,14,0,6,0,2,0.72,0.6818,0.66,0.1642,204,176,380,180.875
5789,2011-09-03,3,0,9,15,0,6,0,1,0.72,0.6818,0.7,0.1642,187,201,388,180.90625
5790,2011-09-03,3,0,9,16,0,6,0,1,0.72,0.6818,0.7,0.194,186,188,374,180.9375
5791,2011-09-03,3,0,9,17,0,6,0,1,0.72,0.6818,0.7,0.2239,170,201,371,180.96875
5792,2011-09-03,3,0,9,18,0,6,0,1,0.72,0.6818,0.7,0.1642,160,179,339,181.0
5793,2011-09-03,3,0,9,19,0,6,0,1,0.7,0.6667,0.74,0.1343,147,148,295,181.03125
5794,2011-09-03,3,0,9,20,0,6,0,1,0.7,0.6667,0.79,0.1642,99,120,219,181.0625
5795,2011-09-03,3,0,9,21,0,6,0,1,0.68,0.6364,0.83,0.1343,71,93,164,181.09375
5796,2011-09-03,3,0,9,22,0,6,0,1,0.68,0.6364,0.83,0.1045,66,96,162,181.125
5797,2011-09-03,3,0,9,23,0,6,0,1,0.66,0.6212,0.85,0.1343,46,77,123,181.15625
5798,2011-09-04,3,0,9,0,0,0,0,1,0.66,0.5909,0.89,0.194,33,76,109,181.1875
5799,2011-09-04,3,0,9,1,0,0,0,1,0.66,0.6061,0.83,0.1343,37,38,75,181.21875
5800,2011-09-04,3,0,9,2,0,0,0,1,0.66,0.6061,0.83,0.194,17,43,60,181.25
5801,2011-09-04,3,0,9,3,0,0,0,1,0.64,0.5758,0.89,0.194,20,23,43,181.28125
5802,2011-09-04,3,0,9,4,0,0,0,1,0.64,0.5758,0.83,0.1642,0,4,4,181.3125
5803,2011-09-04,3,0,9,5,0,0,0,1,0.64,0.5758,0.83,0.1343,1,5,6,181.34375
5804,2011-09-04,3,0,9,6,0,0,0,1,0.64,0.5758,0.84,0.2239,0,3,3,181.375
5805,2011-09-04,3,0,9,7,0,0,0,1,0.66,0.6061,0.78,0.194,10,20,30,181.40625
5806,2011-09-04,3,0,9,8,0,0,0,1,0.66,0.6061,0.78,0.1642,21,49,70,181.4375
5807,2011-09-04,3,0,9,9,0,0,0,1,0.66,0.6061,0.78,0.1642,87,102,189,181.46875
5808,2011-09-04,3,0,9,10,0,0,0,1,0.7,0.6667,0.74,0.1343,150,147,297,181.5
5809,2011-09-04,3,0,9,11,0,0,0,1,0.74,0.697,0.7,0.1642,174,163,337,181.53125
5810,2011-09-04,3,0,9,12,0,0,0,1,0.76,0.7273,0.66,0.1642,214,221,435,181.5625
5811,2011-09-04,3,0,9,13,0,0,0,2,0.78,0.7424,0.62,0.2836,245,174,419,181.59375
5812,2011-09-04,3,0,9,14,0,0,0,1,0.78,0.7576,0.66,0.3284,205,156,361,181.625
5813,2011-09-04,3,0,9,15,0,0,0,1,0.78,0.7576,0.66,0.2836,218,192,410,181.65625
5814,2011-09-04,3,0,9,16,0,0,0,1,0.8,0.7727,0.59,0.2239,196,141,337,181.6875
5815,2011-09-04,3,0,9,17,0,0,0,1,0.76,0.7273,0.66,0.2239,204,172,376,181.71875
5816,2011-09-04,3,0,9,18,0,0,0,1,0.76,0.7273,0.66,0.194,187,169,356,181.75
5817,2011-09-04,3,0,9,19,0,0,0,1,0.74,0.697,0.7,0.194,178,150,328,181.78125
5818,2011-09-04,3,0,9,20,0,0,0,1,0.74,0.697,0.7,0.2985,104,125,229,181.8125
5819,2011-09-04,3,0,9,21,0,0,0,1,0.72,0.697,0.74,0.2537,104,103,207,181.84375
5820,2011-09-04,3,0,9,22,0,0,0,2,0.72,0.697,0.74,0.2836,70,85,155,181.875
5821,2011-09-04,3,0,9,23,0,0,0,2,0.72,0.6818,0.7,0.1642,46,58,104,181.90625
5822,2011-09-05,3,0,9,0,1,1,0,2,0.7,0.6667,0.74,0.2239,31,66,97,181.9375
5823,2011-09-05,3,0,9,1,1,1,0,2,0.68,0.6364,0.79,0.1045,19,35,54,181.96875
5824,2011-09-05,3,0,9,2,1,1,0,2,0.68,0.6364,0.79,0.1642,17,22,39,182.0
5825,2011-09-05,3,0,9,3,1,1,0,2,0.68,0.6364,0.74,0.2985,4,12,16,182.03125
5826,2011-09-05,3,0,9,4,1,1,0,2,0.68,0.6364,0.69,0.2836,3,5,8,182.0625
5827,2011-09-05,3,0,9,5,1,1,0,2,0.66,0.6212,0.74,0.1642,2,4,6,182.09375
5828,2011-09-05,3,0,9,6,1,1,0,2,0.66,0.6212,0.74,0.1343,6,5,11,182.125
5829,2011-09-05,3,0,9,7,1,1,0,1,0.66,0.6212,0.74,0.1642,11,30,41,182.15625
5830,2011-09-05,3,0,9,8,1,1,0,2,0.66,0.6061,0.78,0.194,45,56,101,182.1875
5831,2011-09-05,3,0,9,9,1,1,0,3,0.68,0.6364,0.74,0.1642,63,89,152,182.21875
5832,2011-09-05,3,0,9,10,1,1,0,2,0.7,0.6515,0.7,0.1642,107,137,244,182.25
5833,2011-09-05,3,0,9,11,1,1,0,2,0.7,0.6667,0.74,0.1642,101,207,308,182.28125
5834,2011-09-05,3,0,9,12,1,1,0,2,0.72,0.6818,0.7,0.194,141,212,353,182.3125
5835,2011-09-05,3,0,9,13,1,1,0,2,0.74,0.697,0.7,0.1343,154,235,389,182.34375
5836,2011-09-05,3,0,9,14,1,1,0,1,0.74,0.697,0.7,0.1642,145,212,357,182.375
5837,2011-09-05,3,0,9,15,1,1,0,2,0.68,0.6364,0.79,0.2836,111,142,253,182.40625
5838,2011-09-05,3,0,9,16,1,1,0,2,0.68,0.6364,0.79,0.2836,92,192,284,182.4375
5839,2011-09-05,3,0,9,17,1,1,0,2,0.66,0.5909,0.89,0.1045,37,77,114,182.46875
5840,2011-09-05,3,0,9,18,1,1,0,1,0.66,0.5909,0.89,0.0896,31,92,123,182.5
5841,2011-09-05,3,0,9,19,1,1,0,3,0.66,0.5909,0.94,0.1045,52,123,175,182.53125
5842,2011-09-05,3,0,9,20,1,1,0,3,0.66,0.5909,0.94,0.2537,26,56,82,182.5625
5843,2011-09-05,3,0,9,21,1,1,0,2,0.66,0.5909,0.94,0.2985,20,40,60,182.59375
5844,2011-09-05,3,0,9,22,1,1,0,2,0.6,0.5455,0.88,0.5821,15,49,64,182.625
5845,2011-09-05,3,0,9,23,1,1,0,3,0.56,0.5303,0.88,0.3881,3,17,20,182.65625
5846,2011-09-06,3,0,9,0,0,2,1,3,0.54,0.5152,0.94,0.3582,1,7,8,182.6875
5847,2011-09-06,3,0,9,2,0,2,1,3,0.54,0.5152,0.94,0.2537,0,2,2,182.71875
5848,2011-09-06,3,0,9,3,0,2,1,3,0.54,0.5152,0.94,0.2985,1,0,1,182.75
5849,2011-09-06,3,0,9,4,0,2,1,2,0.54,0.5152,0.94,0.2985,1,3,4,182.78125
5850,2011-09-06,3,0,9,5,0,2,1,3,0.54,0.5152,0.88,0.3582,1,20,21,182.8125
5851,2011-09-06,3,0,9,6,0,2,1,2,0.54,0.5152,0.88,0.3284,0,72,72,182.84375
5852,2011-09-06,3,0,9,7,0,2,1,2,0.54,0.5152,0.83,0.3582,6,166,172,182.875
5853,2011-09-06,3,0,9,8,0,2,1,3,0.54,0.5152,0.83,0.3881,15,349,364,182.90625
5854,2011-09-06,3,0,9,9,0,2,1,2,0.54,0.5152,0.81,0.4179,18,167,185,182.9375
5855,2011-09-06,3,0,9,10,0,2,1,3,0.54,0.5152,0.83,0.3582,16,90,106,182.96875
5856,2011-09-06,3,0,9,11,0,2,1,3,0.54,0.5152,0.83,0.3881,11,78,89,183.0
5857,2011-09-06,3,0,9,12,0,2,1,3,0.54,0.5152,0.83,0.3881,16,51,67,183.03125
5858,2011-09-06,3,0,9,13,0,2,1,3,0.54,0.5152,0.88,0.2985,5,24,29,183.0625
5859,2011-09-06,3,0,9,14,0,2,1,3,0.54,0.5152,0.88,0.2836,3,21,24,183.09375
5860,2011-09-06,3,0,9,15,0,2,1,3,0.54,0.5152,0.94,0.3881,18,71,89,183.125
5861,2011-09-06,3,0,9,16,0,2,1,3,0.54,0.5152,0.94,0.3881,11,95,106,183.15625
5862,2011-09-06,3,0,9,17,0,2,1,2,0.54,0.5152,0.88,0.3881,15,276,291,183.1875
5863,2011-09-06,3,0,9,18,0,2,1,2,0.54,0.5152,0.88,0.3881,22,351,373,183.21875
5864,2011-09-06,3,0,9,19,0,2,1,2,0.54,0.5152,0.88,0.4179,12,269,281,183.25
5865,2011-09-06,3,0,9,20,0,2,1,3,0.54,0.5152,0.88,0.2985,13,150,163,183.28125
5866,2011-09-06,3,0,9,21,0,2,1,3,0.54,0.5152,0.88,0.2836,12,109,121,183.3125
5867,2011-09-06,3,0,9,22,0,2,1,2,0.54,0.5152,0.94,0.3284,5,79,84,183.34375
5868,2011-09-06,3,0,9,23,0,2,1,3,0.54,0.5152,0.94,0.2537,2,56,58,183.375
5869,2011-09-07,3,0,9,0,0,3,1,2,0.54,0.5152,0.94,0.2239,1,12,13,183.40625
5870,2011-09-07,3,0,9,1,0,3,1,3,0.54,0.5152,0.94,0.2537,2,3,5,183.4375
5871,2011-09-07,3,0,9,2,0,3,1,2,0.54,0.5152,0.94,0.2239,2,4,6,183.46875
5872,2011-09-07,3,0,9,3,0,3,1,3,0.56,0.5303,0.94,0.1343,1,1,2,183.5
5873,2011-09-07,3,0,9,4,0,3,1,3,0.56,0.5303,0.94,0.1642,0,4,4,183.53125
5874,2011-09-07,3,0,9,5,0,3,1,2,0.56,0.5303,1,0.1343,1,15,16,183.5625
5875,2011-09-07,3,0,9,6,0,3,1,3,0.6,0.5455,0.88,0.1045,1,74,75,183.59375
5876,2011-09-07,3,0,9,7,0,3,1,3,0.6,0.5455,0.88,0.0896,3,83,86,183.625
5877,2011-09-07,3,0,9,8,0,3,1,3,0.62,0.5455,0.94,0.0896,9,319,328,183.65625
5878,2011-09-07,3,0,9,9,0,3,1,3,0.6,0.5455,0.88,0.1343,14,176,190,183.6875
5879,2011-09-07,3,0,9,10,0,3,1,3,0.6,0.5455,0.88,0.1343,3,63,66,183.71875
5880,2011-09-07,3,0,9,11,0,3,1,3,0.6,0.5152,0.94,0,1,9,10,183.75
5881,2011-09-07,3,0,9,12,0,3,1,3,0.56,0.5303,0.94,0,1,21,22,183.78125
5882,2011-09-07,3,0,9,13,0,3,1,3,0.6,0.5455,0.88,0,2,9,11,183.8125
5883,2011-09-07,3,0,9,14,0,3,1,3,0.6,0.5152,0.93,0,1,24,25,183.84375
5884,2011-09-07,3,0,9,15,0,3,1,3,0.62,0.5455,0.94,0.1045,3,55,58,183.875
5885,2011-09-07,3,0,9,16,0,3,1,1,0.64,0.5758,0.89,0,7,137,144,183.90625
5886,2011-09-07,3,0,9,17,0,3,1,3,0.64,0.5758,0.89,0,21,264,285,183.9375
5887,2011-09-07,3,0,9,18,0,3,1,3,0.64,0.5758,0.89,0,18,219,237,183.96875
5888,2011-09-07,3,0,9,19,0,3,1,2,0.64,0.5758,0.89,0,14,212,226,184.0
5889,2011-09-07,3,0,9,20,0,3,1,3,0.64,0.5758,0.89,0.0896,3,93,96,184.03125
5890,2011-09-07,3,0,9,21,0,3,1,3,0.64,0.5758,0.89,0.0896,4,34,38,184.0625
5891,2011-09-07,3,0,9,22,0,3,1,3,0.62,0.5455,0.94,0.1642,3,26,29,184.09375
5892,2011-09-07,3,0,9,23,0,3,1,3,0.62,0.5455,0.94,0.194,3,21,24,184.125
5893,2011-09-08,3,0,9,0,0,4,1,3,0.6,0.5,1,0.194,3,11,14,184.15625
5894,2011-09-08,3,0,9,1,0,4,1,3,0.62,0.5455,0.94,0.1045,0,4,4,184.1875
5895,2011-09-08,3,0,9,3,0,4,1,3,0.62,0.5455,0.94,0,0,2,2,184.21875
5896,2011-09-08,3,0,9,4,0,4,1,2,0.62,0.5455,0.94,0.0896,0,3,3,184.25
5897,2011-09-08,3,0,9,5,0,4,1,3,0.62,0.5455,0.94,0.0896,1,13,14,184.28125
5898,2011-09-08,3,0,9,6,0,4,1,3,0.62,0.5455,0.94,0.1642,1,55,56,184.3125
5899,2011-09-08,3,0,9,7,0,4,1,3,0.62,0.5455,0.94,0.1045,7,172,179,184.34375
5900,2011-09-08,3,0,9,8,0,4,1,3,0.62,0.5455,0.94,0.1343,7,188,195,184.375
5901,2011-09-08,3,0,9,9,0,4,1,2,0.62,0.5152,1,0.2537,4,65,69,184.40625
5902,2011-09-08,3,0,9,10,0,4,1,2,0.64,0.5606,0.94,0.1045,8,57,65,184.4375
