instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature0,feature1
2794,2011-05-01,2,0,5,7,0,0,0,2,0.42,0.4242,0.77,0.0896,7,26,33,87.3125,0.43196046170720254
2795,2011-05-01,2,0,5,8,0,0,0,2,0.44,0.4394,0.77,0.1343,16,43,59,87.34375,0.525527173032698
2796,2011-05-01,2,0,5,9,0,0,0,2,0.46,0.4545,0.72,0.1343,45,96,141,87.375,0.9998475484790658
2797,2011-05-01,2,0,5,10,0,0,0,2,0.48,0.4697,0.63,0.194,109,155,264,87.40625,0.5549126988869937
2798,2011-05-01,2,0,5,11,0,0,0,1,0.46,0.4545,0.82,0.1045,109,141,250,87.4375,0.4002063269507551
2799,2011-05-01,2,0,5,12,0,0,0,2,0.48,0.4697,0.77,0.1045,109,172,281,87.46875,0.9873775014360168
2800,2011-05-01,2,0,5,13,0,0,0,2,0.5,0.4848,0.63,0.1642,123,209,332,87.5,0.6667583546256496
2801,2011-05-01,2,0,5,14,0,0,0,2,0.5,0.4848,0.68,0.1045,85,153,238,87.53125,0.26687534851384626
2802,2011-05-01,2,0,5,15,0,0,0,2,0.5,0.4848,0.72,0,113,153,266,87.5625,0.9551450869884387
2803,2011-05-01,2,0,5,16,0,0,0,2,0.5,0.4848,0.72,0.194,75,139,214,87.59375,0.7652588373631104
2804,2011-05-01,2,0,5,17,0,0,0,2,0.48,0.4697,0.82,0.2537,60,136,196,87.625,0.12820285816191818
2805,2011-05-01,2,0,5,18,0,0,0,2,0.46,0.4545,0.82,0.0896,33,126,159,87.65625,0.9037954371306512
2806,2011-05-01,2,0,5,19,0,0,0,2,0.46,0.4545,0.84,0.1045,47,131,178,87.6875,0.8484426592676702
2807,2011-05-01,2,0,5,20,0,0,0,2,0.46,0.4545,0.82,0,35,86,121,87.71875,0.013035613267785904
2808,2011-05-01,2,0,5,21,0,0,0,2,0.46,0.4545,0.82,0,23,82,105,87.75,0.83435631545369
2809,2011-05-01,2,0,5,22,0,0,0,2,0.46,0.4545,0.82,0,32,68,100,87.78125,0.9146448955783334
2810,2011-05-01,2,0,5,23,0,0,0,1,0.46,0.4545,0.77,0.194,64,82,146,87.8125,0.15401317680930468
2811,2011-05-02,2,0,5,0,0,1,1,1,0.46,0.4545,0.72,0.1343,68,109,177,87.84375,0.7482175464500438
2812,2011-05-02,2,0,5,1,0,1,1,1,0.46,0.4545,0.72,0.1343,41,73,114,87.875,0.9625405080852258
2813,2011-05-02,2,0,5,2,0,1,1,2,0.44,0.4394,0.77,0.2239,16,19,35,87.90625,0.29190816556983284
2814,2011-05-02,2,0,5,3,0,1,1,1,0.44,0.4394,0.77,0.1343,9,7,16,87.9375,0.647103198166987
2815,2011-05-02,2,0,5,4,0,1,1,1,0.44,0.4394,0.77,0.1642,9,8,17,87.96875,0.9911708657783745
2816,2011-05-02,2,0,5,5,0,1,1,2,0.44,0.4394,0.77,0.1343,4,16,20,88.0,0.42396061041176536
2817,2011-05-02,2,0,5,6,0,1,1,1,0.44,0.4394,0.88,0.1045,3,59,62,88.03125,0.5330370749728928
2818,2011-05-02,2,0,5,7,0,1,1,2,0.46,0.4545,0.82,0.3284,16,193,209,88.0625,0.9999629318538903
2819,2011-05-02,2,0,5,8,0,1,1,2,0.48,0.4697,0.77,0.2239,21,350,371,88.09375,0.5475274807537519
2820,2011-05-02,2,0,5,9,0,1,1,2,0.5,0.4848,0.77,0.2836,41,131,172,88.125,0.40830221109903897
2821,2011-05-02,2,0,5,10,0,1,1,2,0.54,0.5152,0.77,0.2239,31,77,108,88.15625,0.9887407330494933
2822,2011-05-02,2,0,5,11,0,1,1,1,0.58,0.5455,0.73,0.2985,34,96,130,88.1875,0.6601355848457531
2823,2011-05-02,2,0,5,12,0,1,1,1,0.62,0.6061,0.69,0.2239,40,147,187,88.21875,0.27539517569394656
2824,2011-05-02,2,0,5,13,0,1,1,2,0.62,0.6061,0.69,0.194,51,119,170,88.25,0.9577288817505547
2825,2011-05-02,2,0,5,14,0,1,1,1,0.64,0.6061,0.69,0.2239,48,133,181,88.28125,0.7595310707187326
2826,2011-05-02,2,0,5,15,0,1,1,1,0.66,0.6212,0.61,0.194,45,110,155,88.3125,0.13697610397489798
2827,2011-05-02,2,0,5,16,0,1,1,1,0.66,0.6212,0.61,0.2239,49,220,269,88.34375,0.9075480803716756
2828,2011-05-02,2,0,5,17,0,1,1,1,0.66,0.6212,0.65,0.194,65,472,537,88.375,0.8437245370471421
2829,2011-05-02,2,0,5,18,0,1,1,2,0.64,0.6061,0.65,0.194,68,450,518,88.40625,0.00418454539652365
2830,2011-05-02,2,0,5,19,0,1,1,2,0.62,0.6061,0.69,0.1343,46,268,314,88.4375,0.8392026979936389
2831,2011-05-02,2,0,5,20,0,1,1,2,0.62,0.6061,0.69,0.1343,44,174,218,88.46875,0.9110308510299779
2832,2011-05-02,2,0,5,21,0,1,1,2,0.6,0.5909,0.73,0.1045,54,178,232,88.5,0.14526144106338268
2833,2011-05-02,2,0,5,22,0,1,1,2,0.6,0.5909,0.73,0,28,97,125,88.53125,0.7540606679094289
2834,2011-05-02,2,0,5,23,0,1,1,2,0.56,0.5303,0.83,0.194,16,48,64,88.5625,0.9601028763352506
2835,2011-05-03,2,0,5,0,0,2,1,2,0.56,0.5303,0.83,0.2239,0,16,16,88.59375,0.2834309279997097
2836,2011-05-03,2,0,5,1,0,2,1,2,0.56,0.5303,0.78,0.2537,0,14,14,88.625,0.6538261084300709
2837,2011-05-03,2,0,5,2,0,2,1,2,0.56,0.5303,0.78,0.2537,0,5,5,88.65625,0.9899584360428291
2838,2011-05-03,2,0,5,3,0,2,1,1,0.54,0.5152,0.83,0.2836,0,2,2,88.6875,0.4159275429850448
2839,2011-05-03,2,0,5,4,0,2,1,1,0.52,0.5,0.88,0.2239,3,1,4,88.71875,0.5405052149450501
2840,2011-05-03,2,0,5,5,0,2,1,1,0.52,0.5,0.88,0.1343,0,14,14,88.75,0.9999999709221749
2841,2011-05-03,2,0,5,6,0,2,1,2,0.52,0.5,0.94,0.1642,7,102,109,88.78125,0.5400993653695975
2842,2011-05-03,2,0,5,7,0,2,1,2,0.54,0.5152,0.88,0.2239,17,248,265,88.8125,0.4163661059079501
2843,2011-05-03,2,0,5,8,0,2,1,2,0.56,0.5303,0.83,0.2836,24,435,459,88.84375,0.9900264995844045
2844,2011-05-03,2,0,5,9,0,2,1,2,0.6,0.5758,0.78,0.3582,29,157,186,88.875,0.6534610952840831
2845,2011-05-03,2,0,5,10,0,2,1,2,0.64,0.6061,0.69,0.3582,36,91,127,88.90625,0.28389342643018395
2846,2011-05-03,2,0,5,11,0,2,1,2,0.66,0.6212,0.65,0.3284,20,120,140,88.9375,0.9602376411261541
2847,2011-05-03,2,0,5,12,0,2,1,2,0.68,0.6364,0.61,0.4925,48,169,217,88.96875,0.7537437969335046
2848,2011-05-03,2,0,5,13,0,2,1,2,0.7,0.6515,0.58,0.6119,50,144,194,89.0,0.1457386180921953
2849,2011-05-03,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,36,122,158,89.03125,0.9112296197520031
2850,2011-05-03,2,0,5,15,0,2,1,2,0.7,0.6515,0.58,0.4478,37,117,154,89.0625,0.8389403113625157
2851,2011-05-03,2,0,5,16,0,2,1,1,0.72,0.6667,0.54,0.4627,46,225,271,89.09375,0.004666850322198577
2852,2011-05-03,2,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,53,464,517,89.125,0.8439833313429663
2853,2011-05-03,2,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,59,485,544,89.15625,0.9073454297555592
2854,2011-05-03,2,0,5,19,0,2,1,1,0.68,0.6364,0.57,0.3582,42,323,365,89.1875,0.13649832448872737
2855,2011-05-03,2,0,5,20,0,2,1,1,0.66,0.6212,0.61,0.194,28,262,290,89.21875,0.7598447108187654
2856,2011-05-03,2,0,5,21,0,2,1,2,0.64,0.6212,0.61,0.4478,42,183,225,89.25,0.9575900232029048
2857,2011-05-03,2,0,5,22,0,2,1,2,0.58,0.5455,0.6,0.3881,14,99,113,89.28125,0.2749314844069444
2858,2011-05-03,2,0,5,23,0,2,1,2,0.56,0.5303,0.68,0.3284,12,50,62,89.3125,0.6604977932412597
2859,2011-05-04,2,0,5,0,0,3,1,3,0.52,0.5,0.77,0.1642,5,22,27,89.34375,0.9886684458250852
2860,2011-05-04,2,0,5,1,0,3,1,3,0.5,0.4848,0.82,0.2836,1,6,7,89.375,0.40786188879546736
2861,2011-05-04,2,0,5,2,0,3,1,3,0.5,0.4848,0.82,0.2836,0,4,4,89.40625,0.5479310078412336
2862,2011-05-04,2,0,5,3,0,3,1,3,0.42,0.4242,0.88,0.5224,0,1,1,89.4375,0.9999586627820118
2863,2011-05-04,2,0,5,4,0,3,1,3,0.38,0.3939,0.94,0.3284,1,2,3,89.46875,0.5326289347066515
2864,2011-05-04,2,0,5,5,0,3,1,3,0.36,0.3333,0.87,0.3284,1,8,9,89.5,0.4243973795938226
2865,2011-05-04,2,0,5,6,0,3,1,3,0.34,0.303,0.93,0.3881,0,21,21,89.53125,0.9912347003045285
2866,2011-05-04,2,0,5,7,0,3,1,3,0.34,0.303,0.93,0.3582,6,46,52,89.5625,0.6467354088682798
2867,2011-05-04,2,0,5,8,0,3,1,3,0.34,0.303,0.93,0.3881,5,74,79,89.59375,0.2923694349083171
2868,2011-05-04,2,0,5,9,0,3,1,3,0.34,0.303,0.93,0.3582,5,35,40,89.625,0.9626711685609373
2869,2011-05-04,2,0,5,10,0,3,1,2,0.34,0.3182,0.93,0.2836,5,26,31,89.65625,0.7478974694241849
2870,2011-05-04,2,0,5,11,0,3,1,1,0.4,0.4091,0.82,0.3284,3,69,72,89.6875,0.15448971399527003
2871,2011-05-04,2,0,5,12,0,3,1,2,0.44,0.4394,0.62,0.3582,19,105,124,89.71875,0.9148397668332925
2872,2011-05-04,2,0,5,13,0,3,1,2,0.46,0.4545,0.59,0.4478,15,128,143,89.75,0.8340903570445285
2873,2011-05-04,2,0,5,14,0,3,1,1,0.5,0.4848,0.51,0.3881,13,94,107,89.78125,0.013517880406215186
2874,2011-05-04,2,0,5,15,0,3,1,1,0.48,0.4697,0.51,0.4179,22,107,129,89.8125,0.8486978409523841
2875,2011-05-04,2,0,5,16,0,3,1,1,0.5,0.4848,0.45,0.4627,22,173,195,89.84375,0.9035889204975545
2876,2011-05-04,2,0,5,17,0,3,1,1,0.4,0.4091,0.71,0.2537,22,388,410,89.875,0.12772451365107962
2877,2011-05-04,2,0,5,18,0,3,1,1,0.42,0.4242,0.67,0.2537,29,367,396,89.90625,0.7655692220144245
2878,2011-05-04,2,0,5,19,0,3,1,1,0.42,0.4242,0.58,0.3582,30,266,296,89.9375,0.9550021455632223
2879,2011-05-04,2,0,5,20,0,3,1,1,0.4,0.4091,0.62,0.3284,17,174,191,89.96875,0.26641050069923516
2880,2011-05-04,2,0,5,21,0,3,1,1,0.4,0.4091,0.62,0.1642,17,133,150,90.0,0.6671177298926574
2881,2011-05-04,2,0,5,22,0,3,1,1,0.38,0.3939,0.62,0.2239,9,80,89,90.03125,0.9873009961922784
2882,2011-05-04,2,0,5,23,0,3,1,1,0.36,0.3485,0.62,0.2239,8,49,57,90.0625,0.39976427976454143
2883,2011-05-05,2,0,5,0,0,4,1,1,0.36,0.3485,0.66,0.194,4,23,27,90.09375,0.5553138718712827
2884,2011-05-05,2,0,5,1,0,4,1,1,0.34,0.3333,0.71,0.194,4,6,10,90.125,0.9998390106697789
2885,2011-05-05,2,0,5,2,0,4,1,1,0.34,0.3182,0.66,0.2239,1,4,5,90.15625,0.5251167740523195
2886,2011-05-05,2,0,5,3,0,4,1,1,0.34,0.3182,0.66,0.2537,0,4,4,90.1875,0.4323954029287646
2887,2011-05-05,2,0,5,4,0,4,1,1,0.34,0.3182,0.66,0.2537,4,3,7,90.21875,0.9923652405507093
2888,2011-05-05,2,0,5,5,0,4,1,1,0.34,0.3182,0.66,0.2537,1,29,30,90.25,0.6399590525371142
2889,2011-05-05,2,0,5,6,0,4,1,1,0.34,0.3182,0.66,0.2537,3,86,89,90.28125,0.30082253705672385
2890,2011-05-05,2,0,5,7,0,4,1,1,0.38,0.3939,0.58,0.2537,16,255,271,90.3125,0.9650292733948177
2891,2011-05-05,2,0,5,8,0,4,1,1,0.42,0.4242,0.5,0.2537,25,415,440,90.34375,0.7419925462342271
2892,2011-05-05,2,0,5,9,0,4,1,1,0.46,0.4545,0.44,0.2836,20,164,184,90.375,0.16322870606016746
2893,2011-05-05,2,0,5,10,0,4,1,1,0.5,0.4848,0.39,0.2836,30,98,128,90.40625,0.9183782387705896
2894,2011-05-05,2,0,5,11,0,4,1,1,0.52,0.5,0.36,0.4478,43,105,148,90.4375,0.8291750540735736
2895,2011-05-05,2,0,5,12,0,4,1,1,0.52,0.5,0.34,0.3582,27,169,196,90.46875,0.022367851402007043
2896,2011-05-05,2,0,5,13,0,4,1,1,0.54,0.5152,0.3,0.5821,50,142,192,90.5,0.8533458574532142
2897,2011-05-05,2,0,5,14,0,4,1,1,0.54,0.5152,0.28,0.4478,19,135,154,90.53125,0.899761617567986
2898,2011-05-05,2,0,5,15,0,4,1,1,0.56,0.5303,0.26,0.4925,27,120,147,90.5625,0.118940695954046
2899,2011-05-05,2,0,5,16,0,4,1,1,0.58,0.5455,0.24,0.4179,36,233,269,90.59375,0.7712337529969212
2900,2011-05-05,2,0,5,17,0,4,1,1,0.56,0.5303,0.26,0.3881,66,467,533,90.625,0.9523394461691977
2901,2011-05-05,2,0,5,18,0,4,1,1,0.56,0.5303,0.26,0.2836,64,456,520,90.65625,0.257868644471888
2902,2011-05-05,2,0,5,19,0,4,1,1,0.54,0.5152,0.28,0.2239,56,305,361,90.6875,0.6736853997306924
2903,2011-05-05,2,0,5,20,0,4,1,1,0.5,0.4848,0.34,0.1642,33,225,258,90.71875,0.9858561942802732
2904,2011-05-05,2,0,5,21,0,4,1,1,0.5,0.4848,0.36,0.194,39,141,180,90.75,0.3916353503173482
2905,2011-05-05,2,0,5,22,0,4,1,1,0.48,0.4697,0.39,0.194,30,135,165,90.78125,0.5626532286083933
2906,2011-05-05,2,0,5,23,0,4,1,1,0.46,0.4545,0.41,0.194,16,99,115,90.8125,0.9996410239598852
2907,2011-05-06,2,0,5,0,0,5,1,1,0.44,0.4394,0.44,0.1642,13,43,56,90.84375,0.5175634719634351
2908,2011-05-06,2,0,5,1,0,5,1,1,0.4,0.4091,0.62,0.1642,8,24,32,90.875,0.4403595492899565
2909,2011-05-06,2,0,5,2,0,5,1,1,0.38,0.3939,0.62,0.1045,1,15,16,90.90625,0.9934180317482717
2910,2011-05-06,2,0,5,3,0,5,1,1,0.36,0.3636,0.71,0.1045,3,6,9,90.9375,0.6331325571992035
2911,2011-05-06,2,0,5,4,0,5,1,1,0.36,0.3636,0.71,0.1045,0,1,1,90.96875,0.30925207059842863
2912,2011-05-06,2,0,5,5,0,5,1,1,0.34,0.3485,0.81,0.1045,0,16,16,91.0,0.9673117708768589
2913,2011-05-06,2,0,5,6,0,5,1,1,0.36,0.3636,0.81,0.0896,8,74,82,91.03125,0.7360294899978924
2914,2011-05-06,2,0,5,7,0,5,1,1,0.4,0.4091,0.82,0,20,202,222,91.0625,0.17195490961123466
2915,2011-05-06,2,0,5,8,0,5,1,1,0.42,0.4242,0.77,0.2537,35,415,450,91.09375,0.9218447583344876
2916,2011-05-06,2,0,5,9,0,5,1,1,0.46,0.4545,0.67,0.2836,27,161,188,91.125,0.8241947875499287
2917,2011-05-06,2,0,5,10,0,5,1,2,0.54,0.5152,0.49,0.3284,30,97,127,91.15625,0.031216069939031626
2918,2011-05-06,2,0,5,11,0,5,1,2,0.54,0.5152,0.49,0.3284,42,123,165,91.1875,0.8579270166863285
2919,2011-05-06,2,0,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,48,198,246,91.21875,0.895863820825363
2920,2011-05-06,2,0,5,13,0,5,1,1,0.58,0.5455,0.4,0.3284,71,182,253,91.25,0.1101475595852426
2921,2011-05-06,2,0,5,14,0,5,1,1,0.6,0.6212,0.4,0.4478,86,127,213,91.28125,0.7768378599660531
2922,2011-05-06,2,0,5,15,0,5,1,1,0.6,0.6212,0.38,0.3881,89,171,260,91.3125,0.9496021336359017
2923,2011-05-06,2,0,5,16,0,5,1,1,0.6,0.6212,0.4,0.2537,82,262,344,91.34375,0.24930658495551292
2924,2011-05-06,2,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582,83,470,553,91.375,0.6802002881967518
2925,2011-05-06,2,0,5,18,0,5,1,3,0.54,0.5152,0.52,0.3582,85,385,470,91.40625,0.9843341532852694
2926,2011-05-06,2,0,5,19,0,5,1,3,0.54,0.5152,0.52,0.3582,39,253,292,91.4375,0.38347573733283596
2927,2011-05-06,2,0,5,20,0,5,1,1,0.52,0.5,0.48,0.1045,29,161,190,91.46875,0.5699485030344367
2928,2011-05-06,2,0,5,21,0,5,1,1,0.48,0.4697,0.67,0.1343,22,130,152,91.5,0.999364718164037
2929,2011-05-06,2,0,5,22,0,5,1,1,0.46,0.4545,0.72,0.2239,46,105,151,91.53125,0.5099696202201489
2930,2011-05-06,2,0,5,23,0,5,1,1,0.44,0.4394,0.82,0.1343,27,93,120,91.5625,0.4482891947087451
2931,2011-05-07,2,0,5,0,0,6,0,1,0.42,0.4242,0.82,0.1343,10,76,86,91.59375,0.9943929914139619
2932,2011-05-07,2,0,5,1,0,6,0,1,0.42,0.4242,0.82,0.1045,8,50,58,91.625,0.6262564576914166
2933,2011-05-07,2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896,5,47,52,91.65625,0.31765737510299097
2934,2011-05-07,2,0,5,3,0,6,0,1,0.42,0.4242,0.77,0.0896,9,9,18,91.6875,0.9695184821797498
2935,2011-05-07,2,0,5,4,0,6,0,1,0.4,0.4091,0.82,0.1045,1,4,5,91.71875,0.7300087679040046
2936,2011-05-07,2,0,5,5,0,6,0,1,0.46,0.4545,0.59,0.1343,4,3,7,91.75,0.18066764097476323
2937,2011-05-07,2,0,5,6,0,6,0,1,0.42,0.4242,0.77,0.0896,1,12,13,91.78125,0.9252390539328481
2938,2011-05-07,2,0,5,7,0,6,0,1,0.48,0.4697,0.59,0,8,32,40,91.8125,0.8191499476635846
2939,2011-05-07,2,0,5,8,0,6,0,1,0.52,0.5,0.52,0.194,19,96,115,91.84375,0.04006184278404666
2940,2011-05-07,2,0,5,9,0,6,0,1,0.54,0.5152,0.49,0.2836,54,164,218,91.875,0.8624409597306792
2941,2011-05-07,2,0,5,10,0,6,0,1,0.56,0.5303,0.49,0.2985,90,208,298,91.90625,0.8918958356511881
2942,2011-05-07,2,0,5,11,0,6,0,1,0.56,0.5303,0.43,0,132,215,347,91.9375,0.10134579346237746
2943,2011-05-07,2,0,5,12,0,6,0,1,0.6,0.6212,0.4,0.194,129,244,373,91.96875,0.7823811038556706
2944,2011-05-07,2,0,5,13,0,6,0,1,0.6,0.6212,0.35,0.2836,196,240,436,92.0,0.946790422424136
2945,2011-05-07,2,0,5,14,0,6,0,3,0.6,0.6212,0.35,0.1642,143,235,378,92.03125,0.24072499296359098
2946,2011-05-07,2,0,5,15,0,6,0,1,0.6,0.6212,0.38,0.2537,148,230,378,92.0625,0.6866618848674962
2947,2011-05-07,2,0,5,16,0,6,0,1,0.6,0.6212,0.38,0.194,119,223,342,92.09375,0.9827349924549336
2948,2011-05-07,2,0,5,17,0,6,0,1,0.58,0.5455,0.4,0.2239,138,216,354,92.125,0.3752860800939227
2949,2011-05-07,2,0,5,18,0,6,0,1,0.58,0.5455,0.37,0.1642,114,175,289,92.15625,0.5771991235850099
2950,2011-05-07,2,0,5,19,0,6,0,1,0.56,0.5303,0.43,0.194,88,179,267,92.1875,0.9990101149300231
2951,2011-05-07,2,0,5,20,0,6,0,1,0.56,0.5303,0.43,0.1343,82,137,219,92.21875,0.5023358137795636
2952,2011-05-07,2,0,5,21,0,6,0,1,0.54,0.5152,0.49,0.2239,58,124,182,92.25,0.45618371791952983
2953,2011-05-07,2,0,5,22,0,6,0,1,0.54,0.5152,0.49,0.194,26,94,120,92.28125,0.9952900431624095
2954,2011-05-07,2,0,5,23,0,6,0,1,0.5,0.4848,0.59,0.1045,30,89,119,92.3125,0.6193312927369706
2955,2011-05-08,2,0,5,0,0,0,0,2,0.5,0.4848,0.59,0.1045,22,78,100,92.34375,0.32603779203824745
2956,2011-05-08,2,0,5,1,0,0,0,2,0.52,0.5,0.55,0,8,56,64,92.375,0.9716492344138148
2957,2011-05-08,2,0,5,2,0,0,0,1,0.48,0.4697,0.63,0,17,42,59,92.40625,0.723930851659346
2958,2011-05-08,2,0,5,3,0,0,0,1,0.46,0.4545,0.72,0.0896,10,21,31,92.4375,0.18936621753255306
2959,2011-05-08,2,0,5,4,0,0,0,1,0.42,0.4242,0.82,0,2,8,10,92.46875,0.9285608596320784
2960,2011-05-08,2,0,5,5,0,0,0,2,0.44,0.4394,0.77,0,0,5,5,92.5,0.8140409296636749
2961,2011-05-08,2,0,5,6,0,0,0,2,0.44,0.4394,0.82,0,2,4,6,92.53125,0.04890447689542304
2962,2011-05-08,2,0,5,7,0,0,0,2,0.46,0.4545,0.82,0,8,15,23,92.5625,0.8668873329314193
2963,2011-05-08,2,0,5,8,0,0,0,1,0.52,0.5,0.63,0.1343,28,58,86,92.59375,0.8878579729260322
2964,2011-05-08,2,0,5,9,0,0,0,1,0.56,0.5303,0.52,0.2239,48,112,160,92.625,0.09253608717927574
2965,2011-05-08,2,0,5,10,0,0,0,1,0.58,0.5455,0.49,0.1343,91,153,244,92.65625,0.7878630503680764
2966,2011-05-08,2,0,5,11,0,0,0,1,0.58,0.5455,0.49,0.0896,142,198,340,92.6875,0.9439045328236317
2967,2011-05-08,2,0,5,12,0,0,0,1,0.6,0.6212,0.46,0.0896,139,243,382,92.71875,0.23212454083991838
2968,2011-05-08,2,0,5,13,0,0,0,1,0.6,0.6212,0.49,0.1343,166,224,390,92.75,0.6930696834948495
2969,2011-05-08,2,0,5,14,0,0,0,1,0.6,0.6212,0.49,0,126,240,366,92.78125,0.9810588370790564
2970,2011-05-08,2,0,5,15,0,0,0,1,0.6,0.6212,0.49,0,128,230,358,92.8125,0.36706702023740995
2971,2011-05-08,2,0,5,16,0,0,0,1,0.6,0.6212,0.46,0.1045,122,263,385,92.84375,0.5844045221942169
2972,2011-05-08,2,0,5,17,0,0,0,3,0.58,0.5455,0.49,0.2836,106,245,351,92.875,0.9985772420400176
2973,2011-05-08,2,0,5,18,0,0,0,1,0.58,0.5455,0.49,0,63,205,268,92.90625,0.4946626507291211
2974,2011-05-08,2,0,5,19,0,0,0,1,0.56,0.5303,0.64,0,61,178,239,92.9375,0.464042500408437
2975,2011-05-08,2,0,5,20,0,0,0,1,0.52,0.5,0.77,0.1343,42,132,174,92.96875,0.9961091167121124
2976,2011-05-08,2,0,5,21,0,0,0,1,0.52,0.5,0.77,0.0896,32,95,127,93.0,0.6123576049032236
2977,2011-05-08,2,0,5,22,0,0,0,1,0.5,0.4848,0.88,0.0896,29,86,115,93.03125,0.3343926648219066
2978,2011-05-08,2,0,5,23,0,0,0,1,0.46,0.4545,0.88,0.0896,9,41,50,93.0625,0.9737038606405597
2979,2011-05-09,2,0,5,0,0,1,1,1,0.46,0.4545,0.82,0.0896,31,22,53,93.09375,0.7177962174517017
2980,2011-05-09,2,0,5,1,0,1,1,1,0.44,0.4394,0.88,0,25,8,33,93.125,0.1980499577753935
2981,2011-05-09,2,0,5,2,0,1,1,1,0.44,0.4394,0.94,0,6,2,8,93.15625,0.9318099151779674
2982,2011-05-09,2,0,5,3,0,1,1,1,0.46,0.4545,0.82,0.0896,0,7,7,93.1875,0.8088681338275094
2983,2011-05-09,2,0,5,4,0,1,1,1,0.42,0.4242,0.82,0.1642,0,4,4,93.21875,0.057743279477442656
2984,2011-05-09,2,0,5,5,0,1,1,1,0.42,0.4242,0.77,0.1642,0,23,23,93.25,0.8712657879276108
2985,2011-05-09,2,0,5,6,0,1,1,1,0.44,0.4394,0.72,0.2537,2,87,89,93.28125,0.8837505490051768
2986,2011-05-09,2,0,5,7,0,1,1,1,0.48,0.4697,0.63,0.2537,16,221,237,93.3125,0.08371913095185206
2987,2011-05-09,2,0,5,8,0,1,1,1,0.52,0.5,0.55,0.2239,23,351,374,93.34375,0.793283270008052
2988,2011-05-09,2,0,5,9,0,1,1,1,0.54,0.5152,0.56,0.1642,36,142,178,93.375,0.9409446909357891
2989,2011-05-09,2,0,5,10,0,1,1,1,0.56,0.5303,0.52,0.194,24,95,119,93.40625,0.22350590240592996
2990,2011-05-09,2,0,5,11,0,1,1,1,0.6,0.6212,0.46,0.2239,26,99,125,93.4375,0.6994231820456625
2991,2011-05-09,2,0,5,12,0,1,1,1,0.6,0.6212,0.43,0.194,35,160,195,93.46875,0.9793058184797362
2992,2011-05-09,2,0,5,13,0,1,1,1,0.62,0.6212,0.38,0.2836,36,138,174,93.5,0.3588192017037121
2993,2011-05-09,2,0,5,14,0,1,1,1,0.62,0.6212,0.41,0.2239,44,118,162,93.53125,0.5915641343391745
2994,2011-05-09,2,0,5,15,0,1,1,1,0.62,0.6212,0.41,0.2239,51,148,199,93.5625,0.9980661334084041
2995,2011-05-09,2,0,5,16,0,1,1,1,0.64,0.6212,0.38,0.2239,49,255,304,93.59375,0.48695073223974367
2996,2011-05-09,2,0,5,17,0,1,1,1,0.62,0.6212,0.38,0.2537,59,539,598,93.625,0.47186492646177897
2997,2011-05-09,2,0,5,18,0,1,1,1,0.62,0.6212,0.38,0.2985,66,458,524,93.65625,0.9968501478909424
2998,2011-05-09,2,0,5,19,0,1,1,1,0.58,0.5455,0.43,0.194,45,339,384,93.6875,0.6053359405591655
2999,2011-05-09,2,0,5,20,0,1,1,1,0.54,0.5152,0.49,0.194,25,214,239,93.71875,0.3427213388729898
3000,2011-05-09,2,0,5,21,0,1,1,1,0.52,0.5,0.59,0.1343,28,128,156,93.75,0.9756821998857504
3001,2011-05-09,2,0,5,22,0,1,1,1,0.52,0.5,0.68,0.0896,21,95,116,93.78125,0.7116053459125506
3002,2011-05-09,2,0,5,23,0,1,1,1,0.5,0.4848,0.68,0.0896,16,45,61,93.8125,0.2067181813564579
3003,2011-05-10,2,0,5,0,0,2,1,1,0.48,0.4697,0.63,0,6,12,18,93.84375,0.9349859660160756
3004,2011-05-10,2,0,5,1,0,2,1,1,0.46,0.4545,0.59,0.0896,3,12,15,93.875,0.8036319654292137
3005,2011-05-10,2,0,5,2,0,2,1,1,0.44,0.4394,0.58,0.1343,1,4,5,93.90625,0.06657755803457706
3006,2011-05-10,2,0,5,3,0,2,1,1,0.44,0.4394,0.54,0.194,1,3,4,93.9375,0.8755759816795174
3007,2011-05-10,2,0,5,4,0,2,1,1,0.42,0.4242,0.62,0.2537,0,2,2,93.96875,0.8795738856938295
3008,2011-05-10,2,0,5,5,0,2,1,1,0.4,0.4091,0.66,0.2239,1,28,29,94.0,0.07489561556403392
3009,2011-05-10,2,0,5,6,0,2,1,1,0.42,0.4242,0.67,0.1343,9,103,112,94.03125,0.7986413381165071
3010,2011-05-10,2,0,5,7,0,2,1,2,0.44,0.4394,0.62,0.1343,13,301,314,94.0625,0.9379111286559647
3011,2011-05-10,2,0,5,8,0,2,1,2,0.5,0.4848,0.51,0.1045,28,397,425,94.09375,0.2148697529079073
3012,2011-05-10,2,0,5,9,0,2,1,2,0.52,0.5,0.48,0.1045,29,176,205,94.125,0.7057218827410452
3013,2011-05-10,2,0,5,10,0,2,1,2,0.56,0.5303,0.37,0.0896,27,100,127,94.15625,0.9774760740010906
